Activity Calories
,Activity Type,Value
Aug 2025,Swimming,4215
Aug 2025,Walking,282
Aug 2025,Gym & Fitness Equipment,4645
Aug 2025,Hiking,516
Aug 2025,Cycling,2867
Sep 2025,Swimming,20712
Sep 2025,Walking,190
Sep 2025,Gym & Fitness Equipment,5906
Sep 2025,Cycling,2073
Oct 2025,Running,52
Oct 2025,Swimming,12314
Oct 2025,Other,0
Oct 2025,Gym & Fitness Equipment,4150
Nov 2025,Swimming,9443
Nov 2025,Other,0
Nov 2025,Walking,243
Nov 2025,Gym & Fitness Equipment,2611
Dec 2025,Swimming,5878
Dec 2025,Gym & Fitness Equipment,453
Jan 2026,Swimming,8116
Jan 2026,Other,0
Jan 2026,Gym & Fitness Equipment,2338
Feb 2026,Swimming,4577
Feb 2026,Other,0
Feb 2026,Walking,124
Feb 2026,Gym & Fitness Equipment,2827
Mar 2026,Swimming,2986
Mar 2026,Walking,194
Mar 2026,Gym & Fitness Equipment,1570
