,Active Calories,Resting Calories,Total
03/01/2026,155,2443,2598
03/02/2026,623,2443,3066
03/03/2026,278,2443,2721
03/04/2026,95,2443,2538
03/05/2026,601,2443,3044
03/06/2026,174,2443,2617
03/07/2026,60,2443,2503
03/08/2026,60,2443,2503
03/09/2026,61,2443,2504
03/10/2026,123,2443,2566
03/11/2026,422,2443,2865
03/12/2026,468,2443,2911
03/13/2026,304,2443,2747
03/14/2026,740,2443,3183
03/15/2026,190,2443,2633
03/16/2026,432,2443,2875
03/17/2026,637,2443,3080
03/18/2026,141,2443,2584
03/19/2026,363,2413,2776
03/20/2026,141,2413,2554
03/21/2026,471,2413,2884
03/22/2026,137,2413,2550
03/23/2026,582,2413,2995
03/24/2026,520,2413,2933
03/25/2026,188,2413,2601
03/26/2026,471,2413,2884
03/27/2026,309,2413,2722
03/28/2026,137,1663,1800
