Date,Avg Score,Avg Quality,Avg Duration,Avg Sleep Need,Avg Bedtime,Avg Wake Time
Mar 22-28,88,Good,8h 6min,7h 46min,10:38 PM,6:56 AM
Mar 15-21,83,Good,8h 18min,7h 54min,10:09 PM,6:56 AM
Mar 8-14,83,Good,8h 10min,7h 44min,10:12 PM,6:50 AM
Mar 1-7,82,Good,7h 53min,8h 0min,11:03 PM,7:05 AM
Feb 22-28,78,Fair,7h 32min,8h 10min,11:26 PM,7:17 AM
Feb 15-21,85,Good,8h 33min,7h 43min,10:44 PM,7:34 AM
Feb 8-14,82,Good,7h 37min,8h 4min,11:29 PM,7:17 AM
Feb 1-7,83,Good,7h 51min,7h 56min,11:00 PM,7:11 AM
Jan 25-31,87,Good,7h 56min,7h 49min,11:04 PM,7:09 AM
Jan 18-24,85,Good,8h 11min,7h 51min,10:21 PM,6:55 AM
Jan 11-17,83,Good,7h 52min,8h 0min,11:15 PM,7:32 AM
Jan 4-10,83,Good,8h 1min,8h 0min,10:36 PM,7:02 AM
Dec 28, 2025 - Jan 3, 2026,79,Fair,7h 57min,8h 31min,12:10 AM,8:27 AM
Dec 21-27, 2025,73,Fair,6h 38min,8h 13min,12:34 AM,7:40 AM
Dec 14-20, 2025,86,Good,8h 9min,7h 59min,10:50 PM,7:11 AM
Dec 7-13, 2025,83,Good,7h 47min,7h 51min,11:17 PM,7:31 AM
Nov 30 - Dec 6, 2025,84,Good,8h 3min,7h 57min,11:04 PM,7:27 AM
Nov 23-29, 2025,84,Good,8h 5min,7h 51min,11:08 PM,7:39 AM
Nov 16-22, 2025,83,Good,7h 58min,8h 10min,11:13 PM,7:26 AM
Nov 9-15, 2025,72,Fair,6h 59min,8h 17min,12:12 AM,7:39 AM
Nov 2-8, 2025,77,Fair,7h 13min,8h 10min,11:08 PM,6:46 AM
Oct 26 - Nov 1, 2025,84,Good,7h 59min,8h 0min,10:34 PM,6:51 AM
Oct 19-25, 2025,85,Good,7h 55min,7h 59min,10:37 PM,6:55 AM
Oct 12-18, 2025,80,Good,7h 59min,7h 59min,11:01 PM,7:31 AM
Oct 5-11, 2025,82,Good,7h 59min,8h 9min,10:45 PM,7:00 AM
Sep 28 - Oct 4, 2025,69,Fair,6h 49min,8h 16min,12:03 AM,7:08 AM
Sep 21-27, 2025,79,Fair,7h 53min,8h 6min,10:58 PM,7:13 AM
Sep 14-20, 2025,83,Good,7h 48min,8h 6min,10:56 PM,7:01 AM
Sep 7-13, 2025,73,Fair,7h 9min,8h 11min,11:41 PM,7:13 AM
Aug 31 - Sep 6, 2025,83,Good,7h 48min,8h 24min,10:53 PM,6:59 AM
Aug 24-30, 2025,81,Good,7h 24min,8h 30min,11:34 PM,7:22 AM
Aug 17-23, 2025,--,--,7h 57min,--,11:22 PM,7:28 AM
Aug 10-16, 2025,--,--,8h 27min,--,5:31 PM,2:35 AM
Aug 3-9, 2025,--,--,7h 46min,--,9:58 PM,5:53 AM
Jul 27 - Aug 2, 2025,--,--,--,--,--,--
Jul 20-26, 2025,--,--,--,--,--,--
Jul 13-19, 2025,--,--,--,--,--,--
Jul 6-12, 2025,--,--,--,--,--,--
Jun 29 - Jul 5, 2025,--,--,--,--,--,--
Jun 22-28, 2025,--,--,--,--,--,--
Jun 15-21, 2025,--,--,--,--,--,--
Jun 8-14, 2025,--,--,--,--,--,--
Jun 1-7, 2025,--,--,--,--,--,--
May 25-31, 2025,--,--,--,--,--,--
May 18-24, 2025,--,--,--,--,--,--
May 11-17, 2025,--,--,--,--,--,--
May 4-10, 2025,--,--,--,--,--,--
Apr 27 - May 3, 2025,--,--,--,--,--,--
Apr 20-26, 2025,--,--,--,--,--,--
Apr 13-19, 2025,--,--,--,--,--,--
Apr 6-12, 2025,--,--,--,--,--,--
Mar 30 - Apr 5, 2025,--,--,--,--,--,--
