Total Activity Time
,Activity Type,Value
Aug 2025,Swimming,323.78
Aug 2025,Walking,53.19
Aug 2025,Gym & Fitness Equipment,547.58
Aug 2025,Hiking,67.2
Aug 2025,Cycling,244.38
Sep 2025,Swimming,525.31
Sep 2025,Walking,36.87
Sep 2025,Gym & Fitness Equipment,666.24
Sep 2025,Cycling,180.58
Oct 2025,Running,6.72
Oct 2025,Swimming,937.6
Oct 2025,Other,2.19
Oct 2025,Gym & Fitness Equipment,505.51
Nov 2025,Swimming,717.84
Nov 2025,Other,9.77
Nov 2025,Walking,52.8
Nov 2025,Gym & Fitness Equipment,353.27
Dec 2025,Swimming,427.33
Dec 2025,Gym & Fitness Equipment,40.53
Jan 2026,Swimming,614.65
Jan 2026,Other,8.9
Jan 2026,Gym & Fitness Equipment,247.32
Feb 2026,Swimming,372.43
Feb 2026,Other,13.65
Feb 2026,Walking,25.91
Feb 2026,Gym & Fitness Equipment,296.55
Mar 2026,Swimming,240.21
Mar 2026,Walking,35.8
Mar 2026,Gym & Fitness Equipment,158.08
